,Year Built,lat,lng
49,1999,61.215664567668,-149.908055728049
50,1999,61.215661238813,-149.908250002965
51,1999,61.215661380491,-149.908451460247
52,1999,61.215661514907,-149.908638526906
365,1993,61.209784053711,-149.913362562842
366,1999,61.210594315737,-149.912690454076
367,1999,61.210593242137,-149.912493376035
419,1990,61.209782526359,-149.917378577699
533,1996,61.211576118067,-149.901130719583
659,1995,61.211098021631,-149.903270704108
693,1996,61.210762758586,-149.907214610791
821,1996,61.209423966324,-149.899421433925
858,1995,61.208286386292,-149.901466309328
883,1997,61.206432997769,-149.903511616531
947,1997,61.20662882336,-149.904197907383
948,1997,61.206627733042,-149.903994679062
976,1996,61.206897894115,-149.909610399217
977,1995,61.206897648552,-149.909259296562
984,1997,61.20752580895,-149.91169051409
985,1996,61.207359103326,-149.911690306052
1019,1997,61.208990932514,-149.911690897231
1024,1995,61.208845107268,-149.911690318808
1050,1995,61.206874084275,-149.912043419338
1114,1992,61.208795387619,-149.914310108002
1150,1997,61.202680084192,-149.944530457996
1151,1996,61.202627531276,-149.944124490427
1152,1998,61.202880725676,-149.943382438997
1172,1999,61.202770277192,-149.939735230622
1177,1996,61.202150689842,-149.94213226587
1179,1992,61.12608647112573,-149.914138120208
1185,1996,61.203562620065,-149.940631995837
1191,1992,61.201995091852,-149.942798650739
1193,1995,61.20420693231,-149.938091295451
1196,1999,61.203606868434,-149.923352959234
1212,1999,61.202938468197,-149.923829220631
1229,1992,61.205969444501,-149.92615112452
1230,1996,61.20585744037,-149.925932305321
1233,1991,61.205816156737,-149.925000007358
1235,1994,61.206090075405,-149.926272770995
1240,1992,61.12608647112573,-149.914138120208
1492,1993,61.202353080787,-149.902671624554
1591,1998,61.134281696883,-149.761132452507
1741,1995,61.200001887201,-149.925583619758
1742,1995,61.200152723885,-149.925389757634
1752,1998,61.134281696883,-149.761132452507
1801,1991,61.200969014887,-149.930540389926
2023,1998,61.200678005255,-149.955015626499
2024,1991,61.200690656279,-149.955210861432
2027,1992,61.199808958458,-149.95764638992
2029,1992,61.199073745,-149.956757250773
2034,1993,61.199977100282,-149.957646569555
2036,1992,61.199199272748,-149.9550610261
2038,1993,61.200048810315,-149.955470082083
2040,1993,61.200517106624,-149.955467054019
2049,1999,61.199930187401,-149.958663356739
2113,1999,61.197433174667,-149.963073871973
2131,1993,61.195598087969,-149.966938828878
2336,1998,61.13428169688274,-149.761132452507
2361,1995,61.196576865363,-149.954391066507
2401,1994,61.197446444921,-149.928048787995
2461,1993,61.198509540466,-149.928050178943
2522,1993,61.198287055362,-149.932651522732
2526,1998,61.197203615029,-149.934961963721
2578,1998,61.13428169688272,-149.761132452507
2718,1993,61.198441943535,-149.926146708567
2731,1990,61.198033790481,-149.922305859616
2801,1997,61.198378036363,-149.909385075377
2901,1998,61.227844939353,-149.884154431089
3100,1996,61.220615008408,-149.892652840479
3461,1997,61.211559880275,-149.868640979827
3462,1997,61.211257015766,-149.868684539682
3555,1997,61.21156977264,-149.880334156229
3556,1997,61.211569506457,-149.880045400352
3557,1997,61.211569249609,-149.879764777481
3559,1998,61.211569046233,-149.87630412502
3930,1994,61.21037926477,-149.893296914899
4153,1996,61.207443463916,-149.897384317149
4179,1998,61.206189858653,-149.873350200134
4206,1996,61.20779862206,-149.873977728979
4221,1993,61.208784255544,-149.874543602869
4438,1995,61.201157793827,-149.893887015046
4468,1997,61.199276130378,-149.873962093012
4469,1997,61.199274368832,-149.873598104135
4470,1997,61.199273519598,-149.873262940351
4525,1997,61.199027867834,-149.875154719327
4559,1995,61.198882421047,-149.880483155804
4719,1999,61.214515532837,-149.865492263341
4833,1998,61.210751664508,-149.863472451075
4869,1995,61.212550209133,-149.86550973898
4876,1999,61.212551164913,-149.862524997435
4923,1995,61.206585732545,-149.857872303282
5242,1994,61.199043001664,-149.85806235518
5347,1994,61.199278344753,-149.841831225725
5517,1998,61.116223651838,-149.854483135191
5819,1992,61.198773059174,-149.863930233369
5853,1994,61.195597104035,-149.866321049959
5854,1993,61.195595551459,-149.865923617962
6005,1997,61.194774616601,-149.846290674283
6077,1991,61.194284394569,-149.845551053546
6280,1999,61.188196017847,-149.84290228482
6555,1996,61.18600889506,-149.858186330004
