,Year Built,lat,lng
36,2015,61.216503064365,-149.908862519973
37,2015,61.216503064365,-149.908862519973
38,2015,61.216503064365,-149.908862519973
39,2015,61.216503064365,-149.908862519973
40,2015,61.216503064365,-149.908862519973
41,2015,61.216503064365,-149.908862519973
42,2015,61.216503064365,-149.908862519973
171,2009,61.216061304179,-149.906391524167
172,2009,61.21606144943,-149.906602100926
173,2009,61.2161095105,-149.906588120753
174,2009,61.216109365227,-149.906377543673
175,2009,61.216109198367,-149.906136257763
176,2009,61.21611117748,-149.905938835709
177,2015,61.21634372222,-149.905933755691
178,2015,61.216341755265,-149.906148728249
179,2015,61.216341913015,-149.906376854508
180,2015,61.216344174242,-149.906587425453
181,2014,61.216405491569,-149.90660479147
182,2014,61.216403230368,-149.906394220114
183,2014,61.216403069611,-149.906161705787
184,2014,61.216405039629,-149.905951120436
332,2011,61.209975685117,-149.915770404191
360,2015,61.211567583744,-149.912975619854
386,2014,61.213021180527,-149.913676146036
396,2014,61.212790306901,-149.91577616889
460,2016,61.21009203571,-149.897754411534
514,2016,61.212638039567,-149.897845666916
515,2016,61.212636631496,-149.897993766931
516,2016,61.212638307446,-149.898201726706
517,2016,61.212636927337,-149.898387638854
524,2009,61.212640566881,-149.902477392507
723,2014,61.118535047699,-149.822907983719
749,2015,61.210767267456,-149.910404321888
759,2018,61.21702777639462,-149.907614933008
782,2016,61.211574407282,-149.908373794686
796,2015,61.207535511397,-149.897743159516
797,2015,61.207595347832,-149.897743141302
798,2015,61.207407534706,-149.897743194512
799,2015,61.207459786784,-149.89774318246
802,2009,61.207034441986,-149.897751099928
824,2013,61.206881662626,-149.899420060064
828,2015,61.207144491069,-149.899420752984
829,2009,61.208620360956,-149.90030688741
915,2016,61.207427128052,-149.906275785732
1153,2009,61.202727700508,-149.945124225263
1154,2013,61.205037478246,-149.930674739943
1159,2009,61.204038228242,-149.926538171567
1160,2009,61.204151887718,-149.926655647906
1161,2014,61.204291892359,-149.926894162298
1163,2015,61.204305370479,-149.927902608842
1164,2015,61.204495018538,-149.928160175348
1165,2015,61.204440919157,-149.928564931782
1167,2014,61.203497388531,-149.930687368459
1169,2013,61.204592055874,-149.92745132929
1183,2011,61.203216367096,-149.941194023919
1192,2015,61.203860050697,-149.939482821281
1298,2017,61.202944099807,-149.90643099837
1299,2017,61.202844453548,-149.906558277928
1338,2015,61.21247706156,-149.897385461968
1699,2011,61.101161420385,-149.686954022083
1704,2011,61.10116142038511,-149.686954022083
1729,2014,61.19996860153,-149.926039672274
1830,2016,61.2021624213,-149.930941709849
1840,2014,61.201814605989,-149.937500121182
1864,2011,61.101161420385,-149.686954022083
1908,2009,61.200486563826,-149.943133810328
1943,2019,61.22083546714014,-149.894924708993
2011,2012,61.200251477834,-149.953094752995
2012,2013,61.200064582057,-149.953413016158
2013,2014,61.199878458815,-149.953614684657
2020,2014,61.200076062782,-149.954248686744
2021,2015,61.199900023512,-149.954311785291
2065,2019,61.22081654942614,-149.895027205187
2117,2012,61.197439103421,-149.961475108272
2270,2009,61.197951312797,-149.952343473722
2317,2016,61.347053661092,-149.572543202304
2501,2013,61.197374746185,-149.932345891863
2543,2009,61.198919125742,-149.937648133921
2822,2019,61.220799525764,-149.895122308405
2934,2016,61.229711254376,-149.884264505229
3087,2019,61.22078156040895,-149.895227263379
3451,2016,61.211036407347,-149.873838599056
3467,2009,61.212544866515,-149.873555470165
3492,2010,61.212739151478,-149.876046407221
3493,2010,61.212739151478,-149.876046407221
3494,2010,61.212738997805,-149.875878476179
3495,2010,61.212738997805,-149.875878476179
3536,2013,61.211741678067,-149.878028971583
3561,2016,61.211030592564,-149.875657323677
3790,2014,61.210238982421,-149.880006755447
3791,2014,61.210238899504,-149.880148015968
3792,2014,61.210239050984,-149.880313248334
3793,2014,61.210239170421,-149.880445477903
3794,2014,61.210171908404,-149.880770146784
3795,2014,61.210235341225,-149.880769906948
3796,2014,61.210304361568,-149.880763590405
3797,2014,61.210366537845,-149.880776301599
3798,2015,61.21044826519,-149.880733780577
3799,2015,61.21051178466,-149.880753519207
3913,2009,61.211070746568,-149.891641211349
3914,2009,61.211138156224,-149.891640979707
3915,2009,61.211202635411,-149.891640758134
3916,2009,61.211278842011,-149.891646571878
3917,2009,61.211346246808,-149.891640264632
3918,2009,61.211413662002,-149.89164610861
3919,2009,61.211472273342,-149.891639831554
3920,2009,61.211542623862,-149.891651743971
3927,2016,61.210222221762,-149.891625276974
3994,2013,61.212339761093,-149.897385903117
4170,2012,61.208605966114,-149.895810278838
4213,2015,61.208335577432,-149.876974574906
4315,2009,61.202530391618,-149.893382427429
4357,2015,60.94120579458042,-149.169975521888
4608,2015,61.228524270774,-149.864610710431
4609,2016,61.228176036881,-149.864824229685
4610,2011,61.228055300159,-149.864882572637
4611,2015,61.227966960142,-149.864815489808
4612,2012,61.22787368574,-149.864459307949
4613,2013,61.227919874938,-149.864189263186
4614,2015,61.22787773278,-149.863861774392
4615,2011,61.227955859416,-149.863013349184
4616,2011,61.227964192672,-149.86124851646
4617,2016,61.22791835746,-149.860996605062
4618,2016,61.227892724571,-149.860692081807
4619,2015,61.227887325423,-149.860366459511
4620,2015,61.227892043021,-149.860030287445
4621,2014,61.227896759786,-149.859694115279
4622,2014,61.227901530186,-149.859410466096
4623,2009,61.227901268546,-149.859158354168
4624,2009,61.227956765755,-149.858958515997
4625,2015,61.228076786916,-149.858920147997
4626,2014,61.228779391308,-149.86399161956
4627,2015,61.22861649923,-149.864079258208
4628,2014,61.228458263681,-149.864166875877
4629,2013,61.228110559683,-149.863954957583
4630,2012,61.22814694422,-149.863258287951
4631,2015,61.228228926717,-149.863008728969
4632,2015,61.228284531579,-149.862738022319
4633,2016,61.228326205318,-149.862506012398
4634,2015,61.228349243176,-149.862264425151
4635,2014,61.228302147113,-149.861743018591
4636,2013,61.228245992681,-149.861472800384
4637,2013,61.228175867944,-149.861202644674
4638,2015,61.2281383282,-149.86092268684
4639,2016,61.228114767571,-149.860652327359
4640,2015,61.228095813252,-149.860333650346
4641,2011,61.228448453098,-149.857769092081
4642,2011,61.228445262716,-149.857594439003
4643,2011,61.228442071048,-149.857418777303
4644,2011,61.228441913535,-149.857269063252
4645,2011,61.228436460929,-149.857091858431
4646,2011,61.228427287797,-149.856948423154
4647,2011,61.228421037619,-149.856738452638
4648,2011,61.228414871849,-149.856595003847
4649,2011,61.228373462369,-149.856201181988
4650,2011,61.228357837055,-149.856024801633
4651,2011,61.22833360696,-149.855862722491
4652,2012,61.228304297226,-149.855536689662
4653,2012,61.228325506699,-149.855686306643
4654,2012,61.228275336097,-149.855188808685
4655,2012,61.228287544761,-149.855357179985
4656,2013,61.228286653859,-149.854873512113
4657,2013,61.228277785508,-149.855017029162
4658,2013,61.228310994224,-149.854677498946
4659,2012,61.228359711668,-149.854248521373
4660,2012,61.228334651831,-149.854314669714
4661,2012,61.228317987558,-149.85439815759
4662,2012,61.228291252124,-149.854464313463
4663,2013,61.228613622326,-149.854140304654
4664,2013,61.228546674141,-149.854203171711
4665,2013,61.228473039458,-149.854279972245
4670,2010,61.228637863491,-149.856894314156
4671,2010,61.228625683098,-149.856750891691
4672,2010,61.228611559323,-149.856565159516
4673,2010,61.228593344661,-149.856403051243
4674,2010,61.228577720055,-149.856214191023
4675,2010,61.228562518648,-149.856058307204
4676,2010,61.228543141394,-149.855885851424
4677,2010,61.228521932142,-149.855736233275
4678,2009,61.22850441871,-149.855575925837
4679,2009,61.228485992903,-149.855383670383
4680,2014,61.228481870474,-149.855081389441
4681,2014,61.228560313317,-149.854712571737
4788,2013,61.211922625152,-149.858582465127
4816,2009,61.211116551371,-149.861007349445
4817,2009,61.211116551371,-149.861007349445
4818,2009,61.211058497395,-149.861007605335
4819,2009,61.211058497395,-149.861007605335
4853,2013,61.212061270236,-149.860598334587
4873,2014,61.212549501939,-149.864030412726
4895,2015,61.213532415864,-149.865180485488
4940,2010,61.208093524886,-149.858957030435
4985,2009,61.209131294439,-149.863033663648
5035,2012,61.205941867033,-149.861416743487
5036,2012,61.205941867033,-149.861416743487
5037,2012,61.205941867033,-149.861416743487
5038,2012,61.205941867033,-149.861416743487
5039,2012,61.205941867033,-149.861416743487
5040,2012,61.205941867033,-149.861416743487
5041,2012,61.205941867033,-149.861416743487
5042,2012,61.205941867033,-149.861416743487
5043,2012,61.205941867033,-149.861416743487
5044,2012,61.205941867033,-149.861416743487
5045,2012,61.205941867033,-149.861416743487
5046,2012,61.205941867033,-149.861416743487
5047,2012,61.205941867033,-149.861416743487
5048,2012,61.205941867033,-149.861416743487
5049,2012,61.205941867033,-149.861416743487
5050,2012,61.205941867033,-149.861416743487
5051,2012,61.205941867033,-149.861416743487
5052,2012,61.205941867033,-149.861416743487
5563,2009,61.196546630985,-149.848587818444
5741,2016,61.347053661092,-149.572543202304
6080,2018,61.21508496876239,-149.909681576041
6361,2015,61.190054898678,-149.847146702835
6642,2015,61.21650306436476,-149.908862519973
6645,2011,61.186511738912,-149.842124241448
6665,2014,61.184619926473,-149.841946543185
7069,2010,61.225149317696,-149.812408928133
7070,2010,61.225151007966,-149.812773348152
7071,2010,61.225147198341,-149.815566334207
7074,2014,61.225874061681,-149.813521522474
7075,2014,61.225874009215,-149.813278668802
7076,2014,61.225664430647,-149.812937319907
7078,2012,61.22555155561,-149.81235966998
7103,2014,61.22496912594,-149.821635802979
7120,2009,61.226057939509,-149.820589510303
7168,2010,61.227683136296,-149.818704320042
7175,2010,61.227372539195,-149.81570450499
7191,2010,61.227118460897,-149.812324399465
7192,2014,61.226977093093,-149.812333350051
7196,2014,61.226521200163,-149.812364525733
