,Unnamed: 0,index,Year Built,lat,lng
18,18,18,1930,61.215303830456,-149.909986085994
166,166,166,1937,61.214692445315,-149.906538011361
167,167,167,1931,61.215044189459,-149.905948353402
250,250,250,1935,61.214889179497,-149.905611066482
253,253,253,1939,61.215177505683,-149.905611638361
273,273,273,1940,61.214696306597,-149.901017651363
274,274,274,1935,61.21628221611,-149.899772386113
337,337,337,1940,61.21009923869,-149.914090771804
370,370,370,1939,61.211578343047,-149.91562396526
444,444,444,1940,61.210185563587,-149.919839811376
513,513,513,1939,61.212353842403,-149.899431610497
714,714,714,1940,61.212365212765,-149.911695552779
731,731,731,1940,61.211908033632,-149.910402640239
748,748,748,1938,61.210734510007,-149.909995970513
818,818,818,1940,61.208969211081,-149.899425130042
825,825,825,1940,61.206881662626,-149.899420060064
836,836,836,1930,61.207291490892,-149.899784446172
842,842,842,1940,61.206523290395,-149.89978687011
1571,1571,1571,1940,61.211815159892254,-149.897752947521
2404,2404,2404,1936,61.197044873738,-149.928048258163
2949,2949,2949,1940,61.227678350219,-149.886932919499
3101,3101,3101,1936,61.220615008408,-149.892652840479
3102,3102,3102,1930,61.220919783971,-149.893639822713
3103,3103,3103,1940,61.221284005307,-149.893661996148
3184,3184,3184,1940,61.216997702846,-149.873243835094
3185,3185,3185,1940,61.216803836691,-149.873250372178
3186,3186,3186,1939,61.216665881015,-149.873709354969
3195,3195,3195,1939,61.219252536363,-149.873097879785
3205,3205,3205,1939,61.218666166071,-149.881854959685
3283,3283,3283,1939,61.215842833153,-149.872880144645
3289,3289,3289,1940,61.214334317967,-149.880589281254
3292,3292,3292,1940,61.215234596693,-149.881416439708
3295,3295,3295,1940,61.21533184354,-149.881045154072
3296,3296,3296,1940,61.215457372766,-149.881044680446
3470,3470,3470,1939,61.21203867326,-149.873069886144
3481,3481,3481,1940,61.213540164414,-149.873957968973
3482,3482,3482,1940,61.213540247003,-149.873652943591
3483,3483,3483,1939,61.213540308408,-149.873416758506
3496,3496,3496,1939,61.212910972244,-149.876264001698
3506,3506,3506,1940,61.213536518538,-149.877667039482
3520,3520,3520,1940,61.212309739939,-149.879376425214
3545,3545,3545,1939,61.212062279834,-149.881146919493
3834,3834,3834,1940,61.210755980867,-149.884180606897
3836,3836,3836,1939,61.211028338389,-149.884728918875
3851,3851,3851,1940,61.211567248313,-149.888535647352
3855,3855,3855,1925,61.211425059537,-149.887546062172
3856,3856,3856,1936,61.211534057883,-149.887545673456
3858,3858,3858,1940,61.211566753947,-149.885705097194
3865,3865,3865,1940,61.211736684881,-149.884181082656
3870,3870,3870,1940,61.212008476671,-149.887542813161
3887,3887,3887,1940,61.212553055232,-149.888544339768
3889,3889,3889,1940,61.212551913491,-149.887975677072
3923,3923,3923,1936,61.210587286033,-149.8922395277
3935,3935,3935,1938,61.211213718946,-149.89330676708
3943,3943,3943,1940,61.210760680843,-149.894300726069
3945,3945,3945,1940,61.210518212597,-149.893669582124
3946,3946,3946,1939,61.210390893665,-149.893669370567
3949,3949,3949,1940,61.210144997331,-149.893695142152
3972,3972,3972,1940,61.211223466343,-149.895711641943
3995,3995,3995,1940,61.211814183496,-149.897387602135
3998,3998,3998,1930,61.211484393165,-149.895711987024
4000,4000,4000,1940,61.212486795326,-149.895712443381
4064,4064,4064,1940,61.207050446952,-149.893668032437
4065,4065,4065,1940,61.206878389384,-149.893666440633
4070,4070,4070,1940,61.206884269827,-149.895337902713
4077,4077,4077,1940,61.206313464921,-149.895336405862
4094,4094,4094,1940,61.20861454532,-149.894619361492
4106,4106,4106,1934,61.209139459078,-149.893665843323
4122,4122,4122,1940,61.209411980249,-149.895343805085
4129,4129,4129,1940,61.209138031701,-149.895704995813
4132,4132,4132,1940,61.208283394208,-149.895709041428
4133,4133,4133,1938,61.208151969145,-149.89570881821
4162,4162,4162,1940,61.208996458783,-149.897390628783
4164,4164,4164,1940,61.209302019298,-149.897380265802
4692,4692,4692,1940,61.218453850391,-149.843331245665
4720,4720,4720,1940,61.21424065556,-149.865066352799
4829,4829,4829,1937,61.211564127194,-149.862077071922
4871,4871,4871,1940,61.212549394065,-149.864597633856
4943,4943,4943,1940,61.206868787172,-149.858961305348
5814,5814,5814,1940,61.197918382851,-149.863442451815
5984,5984,5984,1937,61.192996541185,-149.855610740144
7099,7099,7099,1939,61.225163412572,-149.81760914544
7144,7144,7144,1940,61.226044629588,-149.818378140755
7313,7313,7313,1937,61.22872150685,-149.814193406283
8549,8549,8549,1940,61.211815159892,-149.897752947521
8559,8559,8559,1940,61.211815159892,-149.897752947521
9125,9125,9125,1940,61.226222758278,-149.806338010698
9180,9180,9180,1928,61.220627426683,-149.799767154613
13379,13379,13379,1936,61.216537655733,-149.735934938126
25056,25056,25056,1938,61.21696113255224,-149.906211626524
28615,28615,28615,1940,61.184745604454,-149.916903913944
29712,29712,29712,1940,61.18333428519,-149.916442114621
37052,37052,37052,1940,61.21705627068,-149.90761287971
37058,37058,37058,1938,61.217021924459,-149.905899024134
46031,46031,46031,1935,61.151516959503,-149.8385952335
47494,47494,47494,1939,61.138213659235,-149.83616529526
47768,47768,47768,1940,61.140729233928,-149.805936025027
48040,48040,48040,1931,61.21504418945856,-149.905948353402
48642,48642,48642,1935,61.142031312132,-149.793885638896
